Dates,TSX,CAC,DAX,NIK,FTSE,SP
9-Jun-93,3859.7,1915.2,1673.1,20534,2866.9,445.78
10-Jun-93,3875.4,1911.2,1677.05,20493,2860,445.38
11-Jun-93,3866.4,1920.4,1681,20501,2861.8,447.26
14-Jun-93,3872.1,1916.8,1692,20397,2885.5,447.71
15-Jun-93,3887.7,1897.9,1684.1,20046,2870,446.27
16-Jun-93,3892.4,1918.8,1689.6,19902,2883,447.43
17-Jun-93,3903.7,1900.3,1692.3,19926,2875.7,448.54
18-Jun-93,3906.9,1910.3,1686.9,19805,2879.4,443.68
21-Jun-93,3922.4,1929.2,1689.8,19212,2903.4,446.22
22-Jun-93,3935.7,1935.3,1698.1,19538,2907.6,445.93
23-Jun-93,3951.6,1942.4,1699.4,19493,2900.7,443.19
24-Jun-93,3979.5,1963.3,1686.3,19685,2894.7,446.62
25-Jun-93,3991.7,1960.8,1695.2,19660,2887.5,447.6
28-Jun-93,3965.4,1991,1707.2,19887,2897,451.85
29-Jun-93,3963.2,1977.5,1708.3,19543,2886,450.69
30-Jun-93,3966.3,1971.9,1697.6,19590,2900,450.53
1-Jul-93,3982,1960.2,1706.6,19925,2888.8,449.02
2-Jul-93,3997.7,1941.2,1697.8,19621,2857.7,445.84
5-Jul-93,3990.4,1925.4,1692.2,19623,2838.5,443.635
6-Jul-93,3984.3,1935.1,1700.9,19830,2848.1,441.43
7-Jul-93,3972.7,1943.7,1719.8,19721,2848.3,442.83
8-Jul-93,3920.8,1980.4,1783.7,19689,2845.9,448.64
9-Jul-93,3927.4,1985.7,1797.4,19877,2843.2,448.11
12-Jul-93,3950.5,1992.2,1818.2,19980,2830.9,448.98
13-Jul-93,3951.6,1991.2,1807.2,20180,2837.1,448.09
14-Jul-93,3941.6,1977.15,1811.6,20139,2832.3,450.08
15-Jul-93,3931.2,1963.1,1807.7,20158,2831.7,449.22
16-Jul-93,3901.7,1974.9,1813.5,20332,2833,445.75
19-Jul-93,3867.7,1981.7,1836.3,20151,2842.9,446.03
20-Jul-93,3876.1,1968.4,1839,20038,2823.9,447.31
21-Jul-93,3867.3,1947.5,1823.8,20081,2814.1,447.18
22-Jul-93,3838.5,1965.7,1823.5,20116,2820.1,444.51
23-Jul-93,3830.1,1995,1830.8,19735,2827.7,447.1
26-Jul-93,3869.4,2006.2,1854.5,19822,2844.2,449.09
27-Jul-93,3911.6,1998.1,1845.2,19891,2879.4,448.24
28-Jul-93,3923.1,1989.5,1833.9,19830,2884.2,447.19
29-Jul-93,3957.5,2036,1833.7,20457,2917.6,450.24
30-Jul-93,3967.2,2085.9,1803.2,20380,2926.5,448.13
2-Aug-93,3971.85,2129,1815.1,20344,2941.7,450.15
3-Aug-93,3976.5,2110.6,1843.4,20358,2945,449.27
4-Aug-93,3988.5,2101.4,1860.6,20498,2941.3,448.54
5-Aug-93,3947.5,2115.3,1860.7,20426,2943.4,448.13
6-Aug-93,3959.9,2149.8,1869.4,20358,2969.8,448.68
9-Aug-93,4002.2,2138.5,1872.3,20493,2986.4,450.72
10-Aug-93,4028.4,2139.8,1865.2,20494,2971.6,449.45
11-Aug-93,4015.8,2167.4,1865.8,20733,3006.1,450.46
12-Aug-93,4008.9,2161.9,1905,20765,3009.1,448.96
13-Aug-93,4014.6,2148,1906.6,20745,3010.1,450.14
16-Aug-93,4020.2,2142.15,1912.2,20901,3008.3,452.38
17-Aug-93,4032.5,2136.3,1910.2,20842,3025,453.13
18-Aug-93,4069.3,2160.8,1935.7,20773,3073.6,456.04
19-Aug-93,4069.5,2139.2,1939,20687,3065.5,456.43
20-Aug-93,4077.1,2128.2,1922.7,20607,3057.6,456.16
23-Aug-93,4091.7,2111.4,1888.3,20414,3042,455.23
24-Aug-93,4112.2,2123.4,1897.7,20432,3049.3,459.77
25-Aug-93,4122.9,2159.3,1917.8,20521,3079.2,460.13
26-Aug-93,4115.6,2173.6,1901.2,20592,3079.2,461.04
27-Aug-93,4133.4,2183.9,1904.6,20792,3100.6,460.54
30-Aug-93,4138.7,2205.7,1921.9,20913,3100.3,461.9
31-Aug-93,4137.5,2216.5,1944.9,21027,3100,463.56
1-Sep-93,4143.7,2191.9,1918.6,20953,3085.1,463.15
2-Sep-93,4137,2185.1,1925.6,20983,3072.6,461.3
3-Sep-93,4125.5,2156.1,1925.2,21116,3057.3,461.34
6-Sep-93,4074.6,2158,1910.3,21061,3055.4,459.93
7-Sep-93,4023.7,2137.3,1886,20962,3038.6,458.52
8-Sep-93,3952.8,2129.4,1885.3,20918,3035.4,456.65
9-Sep-93,4009.3,2108.8,1880.8,20826,3031.2,457.5
10-Sep-93,4001.6,2108.4,1861.4,20818,3037,461.72
13-Sep-93,3971.7,2119.1,1872.6,21148,3024.8,462.06
14-Sep-93,3972.1,2134.1,1880.6,20948,3028,459.9
15-Sep-93,3967.8,2078.5,1860.4,20725,2989.4,461.6
16-Sep-93,3988,2075.6,1855.7,20502,3003.9,459.43
17-Sep-93,3978.3,2099.5,1882,20391,3005.5,458.83
20-Sep-93,3952.8,2107.4,1912.8,20266,3004.5,455.05
21-Sep-93,3937.3,2094.4,1925.9,20467,3001.6,452.95
22-Sep-93,3954.9,2080,1893,20175,3007.5,456.2
23-Sep-93,3970.8,2057.5,1916.5,20241.5,3001.3,457.74
24-Sep-93,3982.3,2092.6,1885.9,20308,3005.2,457.63
27-Sep-93,3983.8,2108.6,1912.2,20094,3026.3,461.8
28-Sep-93,3978.8,2120,1913.6,20173,3036.9,461.53
29-Sep-93,3983.1,2126.8,1907.7,20077,3030.1,460.11
30-Sep-93,3990.6,2114.6,1915.7,20106,3037.5,458.93
1-Oct-93,3988.2,2116.7,1912.1,20283,3039.3,461.28
4-Oct-93,4002,2128.7,1923.7,20264,3067.7,461.34
5-Oct-93,4014.1,2158.8,1972.7,20322,3085.2,461.2
6-Oct-93,4055.4,2164.5,1987.1,20500,3100.8,460.74
7-Oct-93,4060.7,2147.4,1997,20266,3092.4,459.18
8-Oct-93,4067.2,2156.4,2005,20379,3108.6,460.31
11-Oct-93,4087.25,2138.7,2011,20258,3102.2,460.88
12-Oct-93,4107.3,2126.9,1998.6,20137,3094.7,461.12
13-Oct-93,4111.7,2127.3,2001.5,20038,3080.9,461.49
14-Oct-93,4144.9,2113.9,1990.1,20083,3086.3,466.83
15-Oct-93,4182.5,2139.3,2015,20174,3120.8,469.5
18-Oct-93,4188.7,2145,2033.3,20072,3137.6,468.45
19-Oct-93,4174.6,2147.3,2026.8,20070,3129.6,466.21
20-Oct-93,4182.2,2149.7,2042.6,20173,3156.3,466.07
21-Oct-93,4163.2,2199.7,2034.7,20179,3188.3,465.36
22-Oct-93,4153.8,2231.9,2066.2,20265,3199,463.27
25-Oct-93,4155.2,2227.7,2074.4,20309,3184.8,464.2
26-Oct-93,4187.1,2210.4,2058.7,20024,3165.3,464.3
27-Oct-93,4197.4,2192,2043.1,19839,3154.3,464.61
28-Oct-93,4235.2,2196,2038.5,19479,3163,467.73
29-Oct-93,4255.5,2182,2069,19703,3171,467.83
1-Nov-93,4248,2175.85,2062.1,19438,3164.4,469.1
2-Nov-93,4250.3,2169.7,2095.6,19381,3164.1,468.44
3-Nov-93,4244.7,2171.2,2084.4,19165.5,3162.3,463.02
4-Nov-93,4212.8,2136,2062.6,18950,3149,457.49
5-Nov-93,4202,2081,2012.6,18590,3085.6,459.57
8-Nov-93,4216.4,2084.8,2010.8,18625,3077.6,460.21
9-Nov-93,4251.3,2112.9,2022.8,18126,3096,460.33
10-Nov-93,4269.5,2087.3,2023.8,18122,3098.5,463.72
11-Nov-93,4291.2,2092.1,2023.3,18159,3099.7,462.64
12-Nov-93,4302.7,2096.9,2015,18494,3099.1,465.39
15-Nov-93,4281.7,2117.9,2049.1,18075,3093.3,463.75
16-Nov-93,4257.2,2115.9,2071.7,18246,3097.5,466.74
17-Nov-93,4236.5,2148,2078.5,18109,3120,464.81
18-Nov-93,4234.7,2149.7,2085.3,18166,3125.5,463.62
19-Nov-93,4238.1,2145.2,2077.4,17941,3108,462.6
22-Nov-93,4200.1,2082.6,2030,17385,3070.6,459.13
23-Nov-93,4215.2,2071.5,2027.4,17226,3069.3,461.03
24-Nov-93,4223.3,2070.6,2029.6,17067,3067.2,462.36
25-Nov-93,4229.1,2118.4,2047.7,17223,3093.1,462.71
26-Nov-93,4220.6,2120.6,2047.2,16726,3111.4,463.06
29-Nov-93,4170.3,2119.3,2043.4,16079,3135.8,461.9
30-Nov-93,4180.2,2110.1,2057.8,16407,3166.9,461.79
1-Dec-93,4220.3,2154,2089.9,17125,3233.2,461.89
2-Dec-93,4226.3,2160.5,2110.5,17459,3223.9,463.11
3-Dec-93,4239.3,2188.4,2120.6,17459,3234.2,464.89
6-Dec-93,4235.9,2186.7,2118.8,16840,3237.3,466.43
7-Dec-93,4265.4,2176.1,2115.5,16903,3237.3,466.76
8-Dec-93,4307.6,2205.3,2148.1,16508,3277.4,466.29
9-Dec-93,4290.6,2211.4,2175.8,17062,3271.6,464.18
10-Dec-93,4280.3,2198.1,2161.1,17257,3261.3,463.93
13-Dec-93,4293.3,2196.3,2172.8,17327,3254.6,465.7
14-Dec-93,4244.4,2156.5,2150,17309,3248.4,463.06
15-Dec-93,4225.5,2162.6,2110.7,17489,3278.8,461.84
16-Dec-93,4216.1,2160.3,2137.5,17789,3311.2,463.34
17-Dec-93,4223.5,2196.4,2151,18052,3337.1,466.38
20-Dec-93,4223.6,2223.5,2178.2,17404,3364.9,465.85
21-Dec-93,4214.7,2215.9,2182.9,17315,3342.4,465.3
22-Dec-93,4226.8,2225.8,2197.5,17446,3355.7,467.32
23-Dec-93,4246.3,2243,2222.8,17293.5,3396.5,467.38
24-Dec-93,4260.466667,2251.5,2238.4,17141,3412.3,468.96
27-Dec-93,4274.633333,2276.6,2254,16820,3428.866667,470.54
28-Dec-93,4288.8,2264.6,2242.8,17131,3445.433333,470.94
29-Dec-93,4309.9,2281.9,2214.7,17272,3462,470.58
30-Dec-93,4329.8,2281.2,2266.7,17417,3428.8,468.64
31-Dec-93,4321.4,2268.2,2267.35,17401.33333,3418.4,466.45
3-Jan-94,4344.95,2290.6,2268,17385.66667,3413.45,465.44
4-Jan-94,4368.5,2274.3,2253.6,17370,3408.5,466.89
5-Jan-94,4401,2249.6,2233.4,17783,3379.2,467.55
6-Jan-94,4425.4,2275.1,2220.2,17882,3403,467.12
7-Jan-94,4420.6,2307.6,2211.6,18124,3446,469.9
10-Jan-94,4453.2,2317.3,2233.8,18443,3440.6,475.27
11-Jan-94,4447.4,2331.3,2228.8,18485,3413.8,474.13
12-Jan-94,4454.6,2281.9,2209.2,18794,3372,474.17
13-Jan-94,4479.9,2252.2,2164.7,18577,3360,472.47
14-Jan-94,4489.1,2262.3,2141.8,18974,3400.6,474.91
17-Jan-94,4544.2,2234.8,2137.4,18725,3407.8,473.3
18-Jan-94,4561.9,2247.4,2113.8,18515,3437,474.25
19-Jan-94,4562.9,2274.7,2134.4,19039,3475.1,474.3
20-Jan-94,4542.3,2257.8,2116.2,19184,3470,474.98
21-Jan-94,4501.9,2244,2075.6,19307,3484.2,474.72
24-Jan-94,4465.8,2274.5,2080,18353,3481.4,471.97
25-Jan-94,4456.2,2278.3,2126.8,18648,3444,470.92
26-Jan-94,4460.2,2282.4,2119.2,19138,3436.1,473.2
27-Jan-94,4467.3,2281,2125.1,18892,3427.3,477.05
28-Jan-94,4492.2,2313.2,2133.5,18758,3447.4,478.7
31-Jan-94,4554.8,2334.4,2177.5,20229,3491.8,481.61
1-Feb-94,4591.2,2331.3,2179.7,20416,3481.5,479.62
2-Feb-94,4573.4,2355.9,2184,20250,3520.3,482
3-Feb-94,4560.2,2322,2151.7,20175,3491.5,480.71
4-Feb-94,4447.1,2329.2,2138.3,20301,3475.4,469.81
7-Feb-94,4448.7,2287.1,2079.4,20014,3419.1,471.76
8-Feb-94,4452.1,2299.9,2107.2,20251,3440.2,471.05
9-Feb-94,4463.1,2302.1,2085.3,19841,3429.1,472.77
10-Feb-94,4441.9,2296.8,2119,19990,3407,468.93
11-Feb-94,4405.6,2275.1,2090.6,19724.5,3378.9,470.18
14-Feb-94,4395.2,2281.6,2116,19459,3363.5,470.23
15-Feb-94,4414.4,2258,2115.6,18975,3393.2,472.52
16-Feb-94,4424.1,2258,2136.6,19052,3417.7,472.79
17-Feb-94,4407.2,2281.2,2128.7,18931,3425.3,470.34
18-Feb-94,4378.3,2251.8,2152,18960,3382.6,467.69
21-Feb-94,4349,2215.2,2119.5,19394,3350.3,469.575
22-Feb-94,4371.1,2226.7,2107.6,19343,3333.7,471.46
23-Feb-94,4368.3,2252,2127.7,19342,3341.9,470.69
24-Feb-94,4329.1,2208.3,2090.3,19765,3267.5,464.26
25-Feb-94,4364.2,2199,2075,19803,3281.2,466.07
28-Feb-94,4423.8,2238.1,2091.6,19997,3328.1,467.14
1-Mar-94,4390.4,2183.1,2067.1,20217,3270.6,464.44
2-Mar-94,4362.2,2144.7,2020.3,19745,3248.1,464.81
3-Mar-94,4370.2,2144.7,2038,19606,3246.5,463.01
4-Mar-94,4398.5,2178.7,2060.1,19967,3278,464.74
7-Mar-94,4436.6,2219.9,2109,19812,3305.9,466.91
8-Mar-94,4431.2,2216.4,2124,19898,3264.4,465.88
9-Mar-94,4444.4,2199.7,2115.1,19839,3246.7,467.06
10-Mar-94,4443.1,2184.6,2141.1,20091,3233.9,463.9
11-Mar-94,4446.8,2175,2103.5,20115,3191.9,466.44
14-Mar-94,4470.3,2215,2145.2,20526,3233.4,467.39
15-Mar-94,4500.5,2258.5,2165.6,20509,3267.4,467.01
16-Mar-94,4525.6,2242.7,2172.7,20678,3242.9,469.42
17-Mar-94,4543.2,2247.8,2175.1,20592,3255.7,470.9
18-Mar-94,4566.6,2221.3,2155.6,20469,3218.1,471.06
21-Mar-94,4523.5,2202.7,2131.3,20361.5,3198,468.54
22-Mar-94,4551.8,2200.7,2141.3,20254,3201.5,468.8
23-Mar-94,4609.9,2200.2,2161.1,19962,3155.3,468.54
24-Mar-94,4569.6,2152.6,2161.7,20038,3121.7,464.35
25-Mar-94,4528.2,2136.6,2130.1,19836,3129,460.58
28-Mar-94,4487.9,2144.5,2161.4,19942,3129.5,460
29-Mar-94,4393.6,2123.4,2168.4,19710,3123.4,452.48
30-Mar-94,4313.9,2083.9,2147.5,19560,3092.4,445.55
31-Mar-94,4329.6,2081.9,2133.1,19112,3086.4,445.77
1-Apr-94,4279.85,2088.033333,2141.5,19277,3096.333333,442.345
4-Apr-94,4230.1,2094.166667,2149.9,19122,3106.266667,438.92
5-Apr-94,4273.2,2100.3,2158.3,19563,3116.2,448.29
6-Apr-94,4313.2,2128.2,2191.2,19697,3131.5,448.05
7-Apr-94,4339,2119.6,2201.4,19891,3129,450.88
8-Apr-94,4327.4,2114.8,2203.4,19935,3120.8,447.1
11-Apr-94,4303,2145.3,2225.3,19898,3149.4,449.87
12-Apr-94,4295.4,2148.6,2210.6,19648,3159.1,447.57
13-Apr-94,4248.8,2152.4,2209.2,20060,3145.8,446.26
14-Apr-94,4254.8,2139.1,2198.7,19987,3131.7,446.38
15-Apr-94,4239.9,2159.6,2200.4,20165,3168.3,446.18
18-Apr-94,4168,2160.1,2228.8,20277,3138.2,442.46
19-Apr-94,4115,2136,2172.4,20192,3128,442.54
20-Apr-94,4105.9,2102.7,2182.6,19882,3098.3,441.96
21-Apr-94,4167.2,2092,2197,19799,3101.2,448.73
22-Apr-94,4167.1,2135.2,2213.9,19964,3133.7,447.63
25-Apr-94,4236.7,2116.3,2202.2,19709,3106.1,452.71
26-Apr-94,4263.8,2130.9,2243.2,19629,3125.3,451.87
27-Apr-94,4287.7,2147.3,2253.6,19729,3150,450.485
28-Apr-94,4270.7,2150.3,2251.2,19725,3129.9,449.1
29-Apr-94,4267.1,2166,2246,19647.5,3125.3,450.91
2-May-94,4282.3,2186.2,2268.7,19570,3112.65,453.02
3-May-94,4283.6,2179,2252.3,19643,3100,453.03
4-May-94,4269.1,2141.6,2249,19716,3070.5,451.72
5-May-94,4259.8,2162.6,2235.8,19789,3106,451.38
6-May-94,4254,2158.2,2237,19862,3106,447.82
9-May-94,4179.1,2139.4,2218.9,19787,3097.8,442.32
10-May-94,4189.9,2165,2235.2,19918,3136.3,446.01
11-May-94,4168.2,2176.7,2243.6,20150,3130.5,441.49
12-May-94,4162.5,2181.85,2251.2,20224,3137.8,443.75
13-May-94,4175.3,2187,2258.8,20271,3119.2,444.14
16-May-94,4208.2,2187.8,2271.1,20188,3115.6,444.49
17-May-94,4269.1,2195.2,2259.7,20134,3123.5,449.37
18-May-94,4278,2184,2267.4,20153,3116.5,453.69
19-May-94,4285.6,2165.4,2247.8,20221,3122.8,456.48
20-May-94,4298.3,2155.4,2249.7,20342,3127.3,454.92
23-May-94,4292.6,2144.35,2224.2,20569,3108.4,453.2
24-May-94,4286.9,2133.3,2198.7,20622,3089.1,454.81
25-May-94,4291.3,2084.4,2158.8,20664,3020.7,456.34
26-May-94,4330.7,2091.9,2130.3,20496,3019.7,457.06
27-May-94,4328.8,2050.7,2141,20777,2966.4,457.33
30-May-94,4320.6,2052.5,2118.2,20839,2968.45,456.915
31-May-94,4326.7,2029.9,2127.7,20974,2970.5,456.5
1-Jun-94,4289.6,1979.7,2129.7,21053,2931.9,457.63
2-Jun-94,4280.5,2007.4,2139.05,21009,2980.8,457.65
3-Jun-94,4281,2041.7,2148.4,20954,2997.8,460.13
6-Jun-94,4268.9,2037.2,2163.1,20727,3009.4,458.88
7-Jun-94,4252.1,2023.7,2135.1,21043,3004.8,458.21
8-Jun-94,4201.2,2046.8,2145.2,21262,3038.2,457.06
9-Jun-94,4196.7,2028.4,2129.3,21403,3028.9,457.86
10-Jun-94,4210.5,2020.7,2133.1,21395,3055.9,458.67
13-Jun-94,4206.7,1977.7,2105.8,21553,3016.3,459.1
14-Jun-94,4198.5,1992,2074.7,21354,3039.6,462.37
15-Jun-94,4166.2,1966.4,2074.7,21283,3045.8,460.61
16-Jun-94,4163.4,1942.8,2054.9,21367,3030.1,461.93
17-Jun-94,4156.7,1936,2050.7,21503,3022.9,458.45
20-Jun-94,4088.5,1903,1968.8,21152,2971.1,455.48
21-Jun-94,4047.5,1890.8,1983.3,20813,2940.2,451.34
22-Jun-94,4052.2,1917,1994.4,20581,2960.4,453.09
23-Jun-94,4034.5,1939,2022.1,21040,2942.4,449.63
24-Jun-94,3959.9,1907,2005.3,20767,2876.6,442.8
27-Jun-94,4003.6,1911.6,1988.6,20301,2899.9,447.31
28-Jun-94,3996.8,1925.8,2018.3,20639,2909,446.07
29-Jun-94,4028.2,1936.3,2046.3,20481,2946.3,447.63
30-Jun-94,4025.3,1892,2025.3,20644,2919.2,444.27
1-Jul-94,4025.3,1872.9,2036.5,20543,2936.4,446.2
4-Jul-94,4053.6,1866.2,2054.4,20632,2970.4,446.285
5-Jul-94,4053.6,1878.7,2032.7,20834,2965,446.37
6-Jul-94,4043.4,1889,2035.7,20629,2946.7,446.13
7-Jul-94,4079.9,1920.8,2043.9,20620,2964.4,448.38
8-Jul-94,4098.9,1920.8,2050.9,20526,2962.4,449.55
11-Jul-94,4103.9,1949.8,2065.7,20473,2983.8,448.06
12-Jul-94,4131.7,1942.1,2048.1,20400,2963.9,447.95
13-Jul-94,4140.6,1974.6,2054,20540,3005.3,448.73
14-Jul-94,4195.7,1991.433333,2055.6,20718,3050.4,453.41
15-Jul-94,4193.4,2008.266667,2093.6,20770,3074.8,454.16
18-Jul-94,4199.8,2025.1,2098.2,20718,3082,455.22
19-Jul-94,4200.1,2052.3,2128.8,20775,3091.3,453.86
20-Jul-94,4181.7,2043.7,2138.7,20781,3077.2,451.6
21-Jul-94,4172.6,2053.8,2113.3,20663,3095.1,452.61
22-Jul-94,4176.2,2041.4,2150.3,20463,3114.7,453.11
25-Jul-94,4168.4,2059.8,2136.2,20298,3106.1,454.25
26-Jul-94,4149.9,2076.8,2152,20345,3117.2,453.36
27-Jul-94,4134,2055.7,2140.4,20137,3082.3,452.57
28-Jul-94,4149.8,2053.4,2122.8,20248,3095.9,454.24
29-Jul-94,4179,2075,2146.6,20449,3082.6,458.26
1-Aug-94,4186.65,2069.6,2153.8,20271,3097.4,461.01
2-Aug-94,4194.3,2117.2,2186.4,20660,3157.5,460.56
3-Aug-94,4206.1,2115,2198.9,20633,3160.4,461.45
4-Aug-94,4202.1,2096.5,2183.4,20677,3150.5,458.4
5-Aug-94,4168.5,2107.1,2184.8,20522,3167.5,457.09
8-Aug-94,4175.4,2106.3,2184.7,20636,3171.9,457.89
9-Aug-94,4186.8,2074.5,2164.2,20590,3168.6,457.92
10-Aug-94,4205.1,2064.2,2160.4,20770,3167,460.3
11-Aug-94,4174.7,2038.9,2155.3,20821,3138.2,458.88
12-Aug-94,4175.1,2007,2124.7,20664,3142.3,461.94
15-Aug-94,4169.7,2009.7,2138.8,20626,3142.2,461.23
16-Aug-94,4202.8,2012.4,2143.1,20786,3147.3,465.01
17-Aug-94,4205.3,2035,2162.3,20825,3190.3,465.17
18-Aug-94,4184.4,2010.5,2153.6,20863,3182.6,463.17
19-Aug-94,4187.1,2001.3,2149.6,20513,3191.4,463.68
22-Aug-94,4186.4,1972.6,2123.8,20394,3171.3,462.32
23-Aug-94,4211.7,2000.6,2107.9,20381,3175.1,464.51
24-Aug-94,4263.7,2006.3,2126.4,20512,3205.2,469.03
25-Aug-94,4257,2026.5,2152.2,20443,3234.2,468.08
26-Aug-94,4304.4,2062.7,2161.5,20471,3265.1,473.8
29-Aug-94,4332.4,2075.3,2193.2,20600,3257.35,474.59
30-Aug-94,4333.7,2060.4,2210.9,20592,3249.6,476.07
31-Aug-94,4349.5,2069.1,2212.9,20629,3251.3,475.49
1-Sep-94,4344.3,2034.9,2200.8,20643,3216.5,473.17
2-Sep-94,4344.2,2020.4,2204.7,20658,3222.7,470.99
5-Sep-94,4345.7,1998.2,2174.5,20409,3241.5,471.425
6-Sep-94,4347.2,1961.5,2165.9,20394,3205.4,471.86
7-Sep-94,4339.1,1964.2,2163.8,20024,3203.9,470.99
8-Sep-94,4354.4,1983.4,2172.4,19918,3180,473.14
9-Sep-94,4329.1,1948.8,2185.2,19898,3139.3,468.18
12-Sep-94,4329.9,1966.8,2154.6,19917,3128.8,466.21
13-Sep-94,4344.2,1969.4,2136.1,20046,3121.4,467.51
14-Sep-94,4345,1952.9,2124.1,19919,3079.8,468.8
15-Sep-94,4385.5,1977.3,2114,19857.5,3112.7,474.81
16-Sep-94,4403.9,1924.6,2118.7,19796,3065.1,471.19
19-Sep-94,4436,1922.9,2096.8,19554,3079.1,470.85
20-Sep-94,4376.9,1919.3,2079,19837,3037.3,463.36
21-Sep-94,4358.6,1897.2,2079.5,19885,3014.8,461.46
22-Sep-94,4362.7,1899.4,2073,19834,3021.2,461.27
23-Sep-94,4367.5,1927.4,2089.1,19824,3028.2,459.67
26-Sep-94,4341.4,1902.7,2068.7,19814,2999.8,460.82
27-Sep-94,4360.8,1901.3,2058.7,19469,3008.5,462.05
28-Sep-94,4372.5,1905,2068.1,19508,3038.7,464.84
29-Sep-94,4362.1,1876.2,2043.6,19615,2992.5,462.24
30-Sep-94,4354.2,1879.3,2011.8,19564,3026.3,462.71
3-Oct-94,4344.7,1852.8,2003.4,19650,2983.5,461.74
4-Oct-94,4274.3,1876.1,1995,19569,3001.8,454.59
5-Oct-94,4253.4,1833.7,1968.7,19752,2956.3,453.52
6-Oct-94,4276.3,1843.4,1961,19655,2984.4,452.36
7-Oct-94,4290.8,1856.4,1960.6,19745,2998.7,455.1
10-Oct-94,4303.1,1898.3,2024.8,19783,3032.3,459.04
11-Oct-94,4315.4,1919,2071.1,19821,3073,465.79
12-Oct-94,4355,1918.1,2077.6,20090,3100.5,465.47
13-Oct-94,4343.4,1955.6,2082.6,20149,3141.9,467.79
14-Oct-94,4332.4,1933,2105.7,19969,3106.7,469.1
17-Oct-94,4327,1906.4,2090.9,19958,3120.2,468.96
18-Oct-94,4316,1898.6,2084.8,19992,3085.3,467.66
19-Oct-94,4320.8,1876.3,2051.2,19869,3060.8,470.28
20-Oct-94,4319.8,1867.4,2070,19992,3063.2,466.85
21-Oct-94,4285.1,1842.1,2022.2,19899,3032.8,464.89
24-Oct-94,4266,1841.6,2025.4,19852,3029.1,460.83
25-Oct-94,4242.8,1824.4,1974.6,19732,3000.9,461.53
26-Oct-94,4260,1831.5,2020.5,19746,2999.9,462.62
27-Oct-94,4265.5,1858.1,2013.2,19796,3029.6,465.85
28-Oct-94,4288.6,1905.7,2040.3,19805,3083.8,473.77
31-Oct-94,4291.7,1895,2071.6,19990,3097.4,472.35
1-Nov-94,4264.5,1884.3,2069.7,19916,3096.3,468.42
2-Nov-94,4229,1873.6,2042.4,19751,3081.3,466.51
3-Nov-94,4226.8,1911.1,2051.5,19781.5,3104.4,467.91
4-Nov-94,4198.6,1931.7,2067.6,19812,3097.6,462.28
7-Nov-94,4188,1906.1,2043.5,19619,3065.8,463.07
8-Nov-94,4209.1,1921.5,2053.4,19610,3063.8,465.65
9-Nov-94,4191.4,1943.9,2096.5,19424,3099.6,465.4
10-Nov-94,4179.2,1948.4,2082.4,19265,3103.5,464.37
11-Nov-94,4170.7,1944.75,2078.4,19284,3075.9,462.35
14-Nov-94,4177.2,1941.1,2089.3,19261,3095.3,466.04
15-Nov-94,4168.9,1954.5,2110.8,19392,3135.4,465.03
16-Nov-94,4171.7,1950.2,2106.75,19307,3146.5,465.62
17-Nov-94,4143.8,1927.5,2102.7,19337,3127.5,463.57
18-Nov-94,4114.5,1926.5,2100.2,19303,3131,461.47
